Constituency_ID,Constituency_Name,State
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands
1,Araku (ST),Andhra Pradesh
2,Srikakulam,Andhra Pradesh
3,Vizianagaram,Andhra Pradesh
4,Visakhapatnam,Andhra Pradesh
5,Anakapalle,Andhra Pradesh
6,Kakinada,Andhra Pradesh
7,Amalapuram (SC),Andhra Pradesh
8,Rajahmundry,Andhra Pradesh
9,Narsapuram,Andhra Pradesh
10,Eluru,Andhra Pradesh
11,Machilipatnam,Andhra Pradesh
12,Vijayawada,Andhra Pradesh
13,Guntur,Andhra Pradesh
14,Narsaraopet,Andhra Pradesh
15,Bapatla (SC),Andhra Pradesh
16,Ongole,Andhra Pradesh
17,Nandyal,Andhra Pradesh
18,Kurnoolu,Andhra Pradesh
19,Ananthapur,Andhra Pradesh
20,Hindupur,Andhra Pradesh
21,Kadapa,Andhra Pradesh
22,Nellore,Andhra Pradesh
23,Thirupathi(SC),Andhra Pradesh
24,Rajampet,Andhra Pradesh
25,Chittoor(SC),Andhra Pradesh
1,Arunachal West,Arunachal Pradesh
2,Arunachal East,Arunachal Pradesh
1,Kokrajhar,Assam
2,Dhubri,Assam
3,Barpeta,Assam
4,Darrang-Udalguri,Assam
5,Guwahati,Assam
6,Diphu,Assam
7,Karimganj,Assam
8,Silchar,Assam
9,Nagaon,Assam
10,Kaziranga,Assam
11,Sonitpur,Assam
12,Lakhimpur,Assam
13,Dibrugarh,Assam
14,Jorhat,Assam
1,Valmiki Nagar,Bihar
2,Paschim Champaran,Bihar
3,Purvi Champaran,Bihar
4,Sheohar,Bihar
5,Sitamarhi,Bihar
6,Madhubani,Bihar
7,Jhanjharpur,Bihar
8,Supaul,Bihar
9,Araria,Bihar
10,Kishanganj,Bihar
11,Katihar,Bihar
12,Purnia,Bihar
13,Madhepura,Bihar
14,Darbhanga,Bihar
15,Muzaffarpur,Bihar
16,Vaishali,Bihar
17,Gopalganj,Bihar
18,Siwan,Bihar
19,Maharajganj,Bihar
20,Saran,Bihar
21,Hajipur,Bihar
22,Ujiarpur,Bihar
23,Samastipur,Bihar
24,Begusarai,Bihar
25,Khagaria,Bihar
26,Bhagalpur,Bihar
27,Banka,Bihar
28,Munger,Bihar
29,Nalanda,Bihar
30,Patna Sahib,Bihar
31,Patliputra,Bihar
32,Arrah,Bihar
33,Buxar,Bihar
34,Sasaram,Bihar
35,Karakat,Bihar
36,Jahanabad,Bihar
37,Aurangabad,Bihar
38,Gaya,Bihar
39,Nawada,Bihar
40,Jamui,Bihar
1,Chandigarh,Chandigarh
1,SURGUJA,Chhattisgarh
2,RAIGARH,Chhattisgarh
3,JANJGIR-CHAMPA,Chhattisgarh
4,KORBA,Chhattisgarh
5,BILASPUR,Chhattisgarh
6,RAJNANDGAON,Chhattisgarh
7,DURG,Chhattisgarh
8,RAIPUR,Chhattisgarh
9,MAHASAMUND,Chhattisgarh
10,BASTAR,Chhattisgarh
11,KANKER,Chhattisgarh
1,Daman & Diu,Dadra & Nagar Haveli and Daman & Diu
2,Dadar & Nagar Haveli,Dadra & Nagar Haveli and Daman & Diu
1,North Goa,Goa
2,South Goa,Goa
1,Kachchh,Gujarat
2,Banaskantha,Gujarat
3,Patan,Gujarat
4,Mahesana,Gujarat
5,Sabarkantha,Gujarat
6,Gandhinagar,Gujarat
7,Ahmedabad East,Gujarat
8,Ahmedabad West,Gujarat
9,Surendranagar,Gujarat
10,Rajkot,Gujarat
11,Porbandar,Gujarat
12,Jamnagar,Gujarat
13,Junagadh,Gujarat
14,Amreli,Gujarat
15,Bhavnagar,Gujarat
16,Anand,Gujarat
17,Kheda,Gujarat
18,Panchmahal,Gujarat
19,Dahod,Gujarat
20,Vadodara,Gujarat
21,Chhota Udaipur,Gujarat
22,Bharuch,Gujarat
23,Bardoli,Gujarat
24,Surat,Gujarat
25,Navsari,Gujarat
26,Valsad,Gujarat
1,AMBALA,Haryana
2,KURUKSHETRA,Haryana
3,SIRSA,Haryana
4,HISAR,Haryana
5,KARNAL,Haryana
6,SONIPAT,Haryana
7,ROHTAK,Haryana
8,BHIWANI-MAHENDRAGARH,Haryana
9,GURGAON,Haryana
10,FARIDABAD,Haryana
1,KANGRA,Himachal Pradesh
2,MANDI,Himachal Pradesh
3,HAMIRPUR,Himachal Pradesh
4,SHIMLA,Himachal Pradesh
1,BARAMULLA,Jammu and Kashmir
2,SRINAGAR,Jammu and Kashmir
3,ANANTNAG-RAJOURI,Jammu and Kashmir
4,UDHAMPUR,Jammu and Kashmir
5,JAMMU,Jammu and Kashmir
1,Rajmahal,Jharkhand
2,Dumka,Jharkhand
3,Godda,Jharkhand
4,Chatra,Jharkhand
5,Kodarma,Jharkhand
6,Giridih,Jharkhand
